id,tokens,ner_tags
0,"['Super' 'Mario' 'Run' 'Malware' '#' '2' '–' 'DroidJack' 'RAT' 'Gamers'
 'love' 'Mario' 'and' 'Pokemon' ',' 'but' 'so' 'do' 'malware' 'authors'
 '.']",[ 1  6  6  6 10 10 10  1  6 10 10  3 10  3 10 10 10 10 10 10 10]
1,"['A' 'few' 'days' 'back' ',' 'we' 'wrote' 'about' 'an' 'Android' 'Marcher'
 'trojan' 'variant' 'posing' 'as' 'the' 'Super' 'Mario' 'Run' 'game' 'for'
 'Android' '.']",[10 10 10 10 10 10 10 10 10  3  1 10 10 10 10 10  3  8  8 10 10  3 10]
2,"['We' 'have' 'found' 'another' 'instance' 'of' 'malware' 'posing' 'as'
 'the' 'Super' 'Mario' 'Run' 'Android' 'app' ',' 'and' 'this' 'time' 'it'
 'has' 'taken' 'the' 'form' 'of' 'DroidJack' 'RAT' '(' 'remote' 'access'
 'trojan' ')' '.']","[10 10 10 10 10 10 10 10 10 10  3  8  8  3 10 10 10 10 10 10 10 10 10 10
 10  1  6 10 10 10 10 10 10]"
3,"['Proofpoint' 'wrote' 'about' 'the' 'DroidJack' 'RAT' 'side-loaded' 'with'
 'the' 'Pokemon' 'GO' 'app' 'back' 'in' 'July' '2016' ';' 'the'
 'difference' 'here' 'is' 'that' 'there' 'is' 'no' 'game' 'included' 'in'
 'the' 'malicious' 'package' '.']","[ 2 10 10 10  1  6 10 10 10  3  8 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10]"
4,"['The' 'authors' 'are' 'trying' 'to' 'latch' 'onto' 'the' 'popularity'
 'of' 'the' 'Super' 'Mario' 'Run' 'game' 'to' 'target' 'eagerly' 'waiting'
 'Android' 'users' '.']",[10 10 10 10 10 10 10 10 10 10 10  3  8  8 10 10 10 10 10  3 10 10]
5,"['Details' ':' 'Name' ':' 'Super' 'Mario' 'Run' 'Package' 'Name' ':'
 'net.droidjack.server' 'MD5' ':' '69b4b32e4636f1981841cbbe3b927560'
 'Technical' 'Analysis' ':' 'The' 'malicious' 'package' 'claims' 'to' 'be'
 'the' 'Super' 'Mario' 'Run' 'game' ',' 'as' 'shown' 'in' 'the'
 'permissions' 'screenshot' 'below' ',' 'but' 'in' 'reality' 'this' 'is'
 'a' 'malicious' 'RAT' 'called' 'DroidJack' '(' 'also' 'known' 'as'
 'SandroRAT' ')' 'that' 'is' 'getting' 'installed' '.']","[10 10 10 10  3  8  8 10 10 10  0 10 10  0 10 10 10 10 10 10 10 10 10 10
  3  8  8 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10
 10 10 10  1 10 10 10 10 10 10]"
6,"['Once' 'installed' ',' 'the' 'RAT' 'registers' 'the' 'infected' 'device'
 'as' 'shown' 'below' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10]
7,"['DroidJack' 'RAT' 'starts' 'capturing' 'sensitive' 'information' 'like'
 'call' 'data' ',' 'SMS' 'data' ',' 'videos' ',' 'photos' ',' 'etc' '.']",[ 1  6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
8,['Observe' 'below' 'the' 'code' 'routine' 'for' 'call' 'recording' '.'],[10 10 10 10 10 10 10 10 10]
9,"['This' 'RAT' 'records' 'all' 'the' 'calls' 'and' 'stores' 'the'
 'recording' 'to' 'an' '“' '.amr' '”' 'file' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10  0 10 10 10]
10,"['The' 'following' 'is' 'the' 'code' 'routine' 'for' 'video' 'capturing'
 '.']",[10 10 10 10 10 10 10 10 10 10]
